Resource Type,Resolution,HCL Generation,Tofu Validation,Error Details
aws_accessanalyzer_analyzer,PASS,PASS,FAIL,Unsupported argument
aws_accessanalyzer_archive_rule,PASS,PASS,FAIL,Unsupported argument
aws_account_alternate_contact,PASS,PASS,FAIL,"expected alternate_contact_type to be one of [""BILLING"" ""OPERATIONS"" ""SECURITY""], got mock_value"
aws_account_primary_contact,PASS,PASS,FAIL,Unsupported argument
aws_account_region,PASS,PASS,FAIL,Unsupported argument
aws_acm_certificate,PASS,PASS,FAIL,Unsupported argument
aws_acm_certificate_validation,PASS,PASS,FAIL,Unsupported argument
aws_acmpca_certificate,PASS,PASS,FAIL,Unsupported argument
aws_acmpca_certificate_authority,PASS,PASS,FAIL,Unsupported argument
aws_acmpca_certificate_authority_certificate,PASS,PASS,FAIL,Unsupported argument
aws_acmpca_permission,PASS,PASS,FAIL,Unsupported argument
aws_acmpca_policy,PASS,PASS,FAIL,Unsupported argument
aws_alb,PASS,PASS,FAIL,Invalid combination of arguments
aws_alb_listener,PASS,PASS,FAIL,Unsupported argument
aws_alb_listener_certificate,PASS,PASS,FAIL,Unsupported argument
aws_alb_listener_rule,PASS,PASS,FAIL,Unsupported argument
aws_alb_target_group,PASS,PASS,PASS,
aws_alb_target_group_attachment,PASS,PASS,FAIL,Unsupported argument
aws_ami,PASS,PASS,PASS,
aws_ami_copy,PASS,PASS,PASS,
aws_ami_from_instance,PASS,PASS,PASS,
aws_ami_launch_permission,PASS,PASS,FAIL,Unsupported argument
aws_amplify_app,PASS,PASS,PASS,
aws_amplify_backend_environment,PASS,PASS,FAIL,Unsupported argument
aws_amplify_branch,PASS,PASS,FAIL,Unsupported argument
aws_amplify_domain_association,PASS,PASS,FAIL,Unsupported argument
aws_amplify_webhook,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_account,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_api_key,PASS,PASS,PASS,
aws_api_gateway_authorizer,PASS,PASS,PASS,
aws_api_gateway_base_path_mapping,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_client_certificate,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_deployment,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_documentation_part,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_documentation_version,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_domain_name,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_domain_name_access_association,PASS,PASS,FAIL,Unsupported argument
aws_api_gateway_gateway_response,PASS,PASS,FAIL,Unsupported argument
