Resource Type,Status,Error Details
aws_cloudwatch_dashboard,FAIL,Argument definition required
aws_cloudwatch_event_api_destination,FAIL,Argument definition required
aws_cloudwatch_event_archive,FAIL,Argument definition required
aws_cloudwatch_event_bus,FAIL,Argument definition required
aws_cloudwatch_event_bus_policy,FAIL,Argument definition required
aws_cloudwatch_event_connection,FAIL,Argument definition required
aws_cloudwatch_event_endpoint,FAIL,Argument definition required
aws_cloudwatch_event_permission,FAIL,Argument definition required
aws_cloudwatch_event_rule,FAIL,Argument definition required
aws_cloudwatch_event_target,FAIL,Argument definition required
aws_cloudwatch_log_account_policy,FAIL,Argument definition required
aws_cloudwatch_log_anomaly_detector,FAIL,Argument definition required
aws_cloudwatch_log_data_protection_policy,FAIL,Argument definition required
aws_cloudwatch_log_delivery,FAIL,Argument definition required
aws_cloudwatch_log_delivery_destination,FAIL,Argument definition required
aws_cloudwatch_log_delivery_destination_policy,FAIL,Argument definition required
aws_cloudwatch_log_delivery_source,FAIL,Argument definition required
aws_cloudwatch_log_destination,FAIL,Argument definition required
aws_cloudwatch_log_destination_policy,FAIL,Argument definition required
aws_cloudwatch_log_group,FAIL,Argument definition required
aws_cloudwatch_log_index_policy,FAIL,Argument definition required
aws_cloudwatch_log_metric_filter,FAIL,Argument definition required
aws_cloudwatch_log_resource_policy,FAIL,Argument definition required
aws_cloudwatch_log_stream,FAIL,Argument definition required
aws_cloudwatch_log_subscription_filter,FAIL,Argument definition required
aws_cloudwatch_log_transformer,FAIL,Argument definition required
aws_cloudwatch_metric_alarm,FAIL,Argument definition required
aws_cloudwatch_metric_stream,FAIL,Argument definition required
aws_cloudwatch_query_definition,FAIL,Argument definition required
aws_codeartifact_domain,FAIL,Argument definition required
aws_codeartifact_domain_permissions_policy,FAIL,Argument definition required
aws_codeartifact_repository,FAIL,Argument definition required
aws_codeartifact_repository_permissions_policy,FAIL,Argument definition required
aws_codebuild_fleet,FAIL,Argument definition required
aws_codebuild_project,FAIL,Argument definition required
aws_codebuild_report_group,FAIL,Argument definition required
aws_codebuild_resource_policy,FAIL,Argument definition required
aws_codebuild_source_credential,FAIL,Argument definition required
aws_codebuild_webhook,FAIL,Argument definition required
aws_codecatalyst_dev_environment,FAIL,Argument definition required
aws_codecatalyst_project,FAIL,Argument definition required
aws_codecatalyst_source_repository,FAIL,Argument definition required
aws_codecommit_approval_rule_template,FAIL,Argument definition required
aws_codecommit_approval_rule_template_association,FAIL,Argument definition required
aws_codecommit_repository,FAIL,Argument definition required
aws_codecommit_trigger,FAIL,Argument definition required
aws_codeconnections_connection,FAIL,Argument definition required
aws_codeconnections_host,FAIL,Argument definition required
aws_codedeploy_app,FAIL,Argument definition required
aws_codedeploy_deployment_config,FAIL,Argument definition required
aws_accessanalyzer_analyzer,FAIL,Argument definition required
aws_accessanalyzer_archive_rule,FAIL,Argument definition required
aws_account_alternate_contact,FAIL,Argument definition required
aws_account_primary_contact,FAIL,Argument definition required
aws_account_region,FAIL,Argument definition required
aws_acm_certificate,FAIL,Argument definition required
aws_acm_certificate_validation,FAIL,Argument definition required
aws_acmpca_certificate,FAIL,Argument definition required
aws_acmpca_certificate_authority,FAIL,Argument definition required
aws_acmpca_certificate_authority_certificate,FAIL,Argument definition required
aws_acmpca_permission,FAIL,Argument definition required
aws_acmpca_policy,FAIL,Argument definition required
aws_alb,FAIL,Argument definition required
aws_alb_listener,FAIL,Argument definition required
aws_alb_listener_certificate,FAIL,Argument definition required
aws_alb_listener_rule,FAIL,Argument definition required
aws_alb_target_group,FAIL,Argument definition required
aws_alb_target_group_attachment,FAIL,Argument definition required
aws_ami,FAIL,Argument definition required
aws_ami_copy,FAIL,Argument definition required
aws_ami_from_instance,FAIL,Argument definition required
aws_ami_launch_permission,FAIL,Argument definition required
aws_amplify_app,FAIL,Argument definition required
aws_amplify_backend_environment,FAIL,Argument definition required
aws_amplify_branch,FAIL,Argument definition required
aws_amplify_domain_association,FAIL,Argument definition required
aws_amplify_webhook,FAIL,Argument definition required
aws_api_gateway_account,FAIL,Argument definition required
aws_api_gateway_api_key,FAIL,Argument definition required
aws_api_gateway_authorizer,FAIL,Argument definition required
aws_api_gateway_base_path_mapping,FAIL,Argument definition required
aws_api_gateway_client_certificate,FAIL,Argument definition required
aws_api_gateway_deployment,FAIL,Argument definition required
aws_api_gateway_documentation_part,FAIL,Argument definition required
aws_api_gateway_documentation_version,FAIL,Argument definition required
aws_api_gateway_domain_name,FAIL,Argument definition required
aws_api_gateway_domain_name_access_association,FAIL,Argument definition required
aws_api_gateway_gateway_response,FAIL,Argument definition required
aws_api_gateway_integration,FAIL,Argument definition required
aws_api_gateway_integration_response,FAIL,Argument definition required
aws_api_gateway_method,FAIL,Argument definition required
aws_api_gateway_method_response,FAIL,Argument definition required
aws_api_gateway_method_settings,FAIL,Argument definition required
aws_api_gateway_model,FAIL,Argument definition required
aws_api_gateway_request_validator,FAIL,Argument definition required
aws_api_gateway_resource,FAIL,Argument definition required
aws_api_gateway_rest_api,FAIL,Argument definition required
aws_api_gateway_rest_api_policy,FAIL,Argument definition required
